Customer Id,Customer City,Customer Country,Customer Email,Customer Fname,Customer Lname,Customer Password,Customer Segment,Customer State,Customer Street,Customer Zipcode
20755,Caguas,Puerto Rico,XXXXXXXXX,Cally,Holloway,XXXXXXXXX,Consumer,PR,5365 Noble Nectar Island,725
19492,Caguas,Puerto Rico,XXXXXXXXX,Irene,Luna,XXXXXXXXX,Consumer,PR,2679 Rustic Loop,725
19491,San Jose,EE. UU.,XXXXXXXXX,Gillian,Maldonado,XXXXXXXXX,Consumer,CA,8510 Round Bear Gate,95125
19490,Los Angeles,EE. UU.,XXXXXXXXX,Tana,Tate,XXXXXXXXX,Home Office,CA,3200 Amber Bend,90027
19489,Caguas,Puerto Rico,XXXXXXXXX,Orli,Hendricks,XXXXXXXXX,Corporate,PR,8671 Iron Anchor Corners,725
19488,Tonawanda,EE. UU.,XXXXXXXXX,Kimberly,Flowers,XXXXXXXXX,Consumer,NY,2122 Hazy Corner,14150
19487,Caguas,Puerto Rico,XXXXXXXXX,Constance,Terrell,XXXXXXXXX,Home Office,PR,1879 Green Pine Bank,725
19486,Miami,EE. UU.,XXXXXXXXX,Erica,Stevens,XXXXXXXXX,Corporate,FL,7595 Cotton Log Row,33162
19485,Caguas,Puerto Rico,XXXXXXXXX,Nichole,Olsen,XXXXXXXXX,Corporate,PR,2051 Dusty Route,725
19484,San Ramon,EE. UU.,XXXXXXXXX,Oprah,Delacruz,XXXXXXXXX,Corporate,CA,9139 Blue Blossom Court,94583
19483,Caguas,Puerto Rico,XXXXXXXXX,Germane,Short,XXXXXXXXX,Corporate,PR,4058 Quiet Heights,725
19482,Freeport,EE. UU.,XXXXXXXXX,Freya,Robbins,XXXXXXXXX,Consumer,NY,3243 Shady Corner,11520
19481,Salinas,EE. UU.,XXXXXXXXX,Cassandra,Jensen,XXXXXXXXX,Corporate,CA,131 Sunny Treasure Green,93905
19480,Caguas,Puerto Rico,XXXXXXXXX,Natalie,Mcfadden,XXXXXXXXX,Corporate,PR,2531 Wishing Square,725
19479,Peabody,EE. UU.,XXXXXXXXX,Kimberley,Sharpe,XXXXXXXXX,Corporate,MA,6417 Silver Towers,1960
19478,Caguas,Puerto Rico,XXXXXXXXX,Sade,Lancaster,XXXXXXXXX,Corporate,PR,257 Harvest Close,725
19477,Canovanas,Puerto Rico,XXXXXXXXX,Brynne,Giles,XXXXXXXXX,Corporate,PR,7342 Hazy Beacon Park,729
19476,Paramount,EE. UU.,XXXXXXXXX,Ciara,Bird,XXXXXXXXX,Corporate,CA,7787 Lazy Corners,90723
19475,Caguas,Puerto Rico,XXXXXXXXX,Bo,Griffin,XXXXXXXXX,Consumer,PR,5136 Rustic Pioneer Estates,725
19474,Mount Prospect,EE. UU.,XXXXXXXXX,Kim,Simon,XXXXXXXXX,Consumer,IL,1723 Tawny Via,60056
19473,Long Beach,EE. UU.,XXXXXXXXX,Kellie,Farmer,XXXXXXXXX,Corporate,CA,7111 Silent Fox Gardens,90813
19472,Caguas,Puerto Rico,XXXXXXXXX,Alma,Conley,XXXXXXXXX,Corporate,PR,3732 Old Mountain Bank,725
19471,Rancho Cordova,EE. UU.,XXXXXXXXX,Yeo,Bird,XXXXXXXXX,Corporate,CA,6217 Rustic Lake Forest,95670
19470,Caguas,Puerto Rico,XXXXXXXXX,Lucy,Mcknight,XXXXXXXXX,Corporate,PR,1082 Quiet Treasure Link,725
